Material_Thermal_Conductivity,Surface_Area,Contact_Pressure,Heat_Source_Power,Cooling_Method,Time,Operating_Temperature,Assembly_Type,Thickness,Ambient_Temperature,Heat_Loss
181.089,76.0292,4.8956,490.125,Water,24.3081,96.487,TypeC,9.4616,20.4996,2687822.014
382.75,486.0962,0.9982,997.4641,Water,4.0245,144.5307,TypeA,9.0287,16.5929,10610186.377
306.1979,447.7036,2.4015,603.1534,Passive,24.7107,98.9258,TypeC,5.8197,23.5921,43849691.5824
259.5305,467.4885,0.6891,389.0459,Water,40.7516,83.361,TypeA,5.8924,26.0865,48058818.0697
104.6065,497.7085,3.8296,298.1002,Air,27.5707,133.3023,TypeB,6.884,21.5749,23297018.9352
104.5981,128.2529,4.6313,415.4685,Passive,45.1888,94.2281,TypeB,4.4835,29.4087,8764146.5493
70.3293,228.3089,1.7602,435.2799,Air,22.062,91.9093,TypeC,6.825,27.8754,3323619.6229
353.1617,391.2073,4.3625,161.8423,Fan,38.4499,93.9344,TypeB,1.4029,21.6564,273687633.913
260.3903,363.2093,1.815,432.6168,Fan,11.9988,133.1464,TypeC,1.4864,30.0975,78673276.9599
297.8254,119.2532,4.5985,517.8147,Water,45.2128,131.5136,TypeC,5.1151,27.9739,32504684.3129
57.2046,417.1249,3.8928,750.464,Fan,33.1961,84.3872,TypeB,5.9466,27.7489,7544415.7995
389.4684,150.9983,4.1221,691.0565,Air,13.0398,76.663,TypeC,8.9904,26.0686,4315574.8142
341.3549,150.7179,0.581,737.8891,Fan,18.2228,94.1121,TypeB,1.9419,15.2278,38084635.0868
124.3187,291.6385,4.8326,107.5273,Air,45.1679,103.005,TypeA,8.4038,28.9301,14434660.7341
113.6387,316.823,3.77,295.9007,Water,29.4735,66.2171,TypeA,2.8904,22.5208,16042106.1777
114.1916,311.0388,1.8714,695.5159,Water,13.7459,127.3351,TypeB,4.5468,33.8522,10038024.0336
156.4848,91.1691,4.2323,535.5904,Air,58.069,93.5131,TypeB,3.8494,31.3597,13376300.6918
233.6648,444.8574,1.7668,104.7821,Fan,43.1924,76.745,TypeB,4.6014,26.7539,48778018.5373
201.1808,169.52,4.4274,824.0452,Water,57.471,51.7503,TypeB,2.3545,20.0436,26394204.4937
151.9302,108.2817,1.0066,795.5286,Passive,26.1992,66.273,TypeA,5.5321,19.0743,3677284.4076
264.1485,449.9366,3.6666,593.5772,Water,29.0309,144.4209,TypeC,8.2148,21.8077,51499166.8767
98.8229,480.0432,2.9331,159.817,Fan,53.9794,73.561,TypeC,4.9738,24.5314,25242711.3674
152.2506,437.9574,0.9344,789.8635,Passive,31.9779,58.5745,TypeA,5.4155,20.9213,14825322.6089
178.2266,414.2822,1.5885,625.3422,Fan,42.7295,90.674,TypeC,8.6389,25.2986,23875502.4164
209.6245,344.8589,0.5558,803.764,Air,15.8782,73.7797,TypeA,7.3545,18.3074,8657804.3432
324.8116,297.8858,2.6095,776.5723,Passive,27.3569,43.8675,TypeC,5.4141,34.5543,4553243.4484
119.8858,89.144,1.8557,822.7019,Fan,8.2835,75.546,TypeB,3.3193,17.1585,1557209.7495
229.9821,233.8039,3.1926,566.2073,Passive,13.1528,99.8519,TypeB,8.9643,33.6389,5223852.2627
257.3451,217.7098,1.8376,226.2921,Fan,1.0557,100.6884,TypeB,6.1932,33.2716,643854.052
66.2576,166.8892,1.8496,704.0417,Passive,3.3166,79.2215,TypeA,2.9903,25.5072,658767.5367
262.6407,375.5391,3.8444,658.4264,Fan,58.6597,89.2033,TypeA,3.4221,29.4982,100942895.8745
109.6834,273.1441,0.7166,768.0279,Air,15.2989,146.207,TypeC,8.2282,23.721,6822987.0526
72.7681,86.4708,4.563,252.8929,Passive,40.1353,81.5083,TypeC,1.3973,27.6007,9743104.579
382.1099,149.0824,4.3352,275.4777,Passive,50.5069,68.4049,TypeC,9.9288,21.8115,13501841.9219
387.9712,357.4664,3.5051,901.3686,Passive,33.489,66.7814,TypeA,2.1732,21.0232,97792630.8913
332.9391,84.2589,3.1695,774.98,Passive,10.0355,90.3541,TypeC,8.1646,26.5646,2199550.2442
156.6148,433.0431,4.5154,917.4056,Air,43.9589,123.5472,TypeB,4.553,24.9626,64553852.8598
84.1852,272.8159,1.334,782.8438,Passive,36.4148,62.6587,TypeC,5.4299,26.5907,5555377.6138
289.4816,266.264,0.8554,637.4398,Water,44.1438,118.0226,TypeB,8.9259,20.7332,37086567.5249
204.0534,316.5835,1.5778,688.7195,Air,46.4151,42.3265,TypeA,4.7162,22.3392,12707301.0584
92.7134,421.1064,4.0756,900.2151,Water,58.5492,86.0826,TypeB,5.8374,16.678,27178414.4472
223.3119,206.5141,0.656,620.9261,Passive,34.8402,125.3452,TypeB,1.4437,16.0455,121642189.4682
62.036,355.1073,3.1226,669.1522,Fan,21.1568,77.2606,TypeB,1.0211,20.0691,26104572.1265
368.2621,304.5794,4.9795,240.829,Water,39.2594,102.0111,TypeA,3.2032,16.4849,117575363.6869
140.573,170.1627,4.3506,526.5291,Passive,5.038,62.5477,TypeA,7.1252,17.0755,769083.2478
281.8828,445.3835,2.8465,744.7574,Water,53.9464,121.6195,TypeA,2.0914,31.2586,292623104.1696
159.0989,408.8417,0.7864,343.8484,Passive,8.0435,45.7507,TypeA,2.0239,15.7775,7748390.3177
232.0238,346.3033,4.2412,282.0288,Passive,20.3427,133.7797,TypeC,4.6986,28.1789,36736391.4166
241.3486,432.7618,3.1954,382.4441,Passive,49.129,61.8016,TypeA,6.8305,20.4512,31064105.0449
114.6991,440.2824,1.0172,317.3506,Fan,36.2414,136.1838,TypeB,7.4086,32.4309,25630695.9445
389.3546,368.7633,0.9224,293.4214,Water,24.2245,78.7782,TypeA,2.6061,24.6998,72173967.9105
321.2965,426.656,4.5933,482.3658,Air,28.9327,119.4952,TypeC,1.7163,21.1115,227354086.6169
378.8246,363.8622,3.5114,917.0547,Air,51.4183,75.1148,TypeC,9.4636,25.3528,37267844.9104
363.1896,356.0633,4.2318,556.3537,Air,21.0603,139.6503,TypeC,3.346,22.6392,95241515.0475
259.265,328.3751,4.4554,269.1283,Air,52.3093,53.9301,TypeB,8.6801,26.286,14183086.3001
372.656,388.7225,3.073,169.2745,Passive,6.1999,59.6372,TypeA,8.7714,17.2907,4335918.2612
80.9724,121.3723,2.8285,726.5405,Water,46.8311,94.2333,TypeA,7.9527,34.9398,3431495.5464
118.594,446.3918,2.4369,444.5189,Water,51.0053,49.0132,TypeA,2.5195,23.5111,27331018.3444
65.8296,442.3296,1.9263,839.6479,Fan,11.7272,61.5578,TypeB,8.3962,21.9646,1610272.5117
163.8656,63.1613,2.4557,693.5597,Water,26.3904,143.8143,TypeB,7.9233,29.2042,3950950.7592
186.0371,421.6175,3.9825,816.6173,Water,10.7645,147.4139,TypeC,6.3705,22.278,16585190.0808
144.9722,107.9914,3.2087,344.7514,Water,42.6896,81.3885,TypeC,4.0348,31.6655,8236283.7059
340.0581,200.8035,4.5164,723.123,Fan,32.5855,141.5615,TypeA,3.3626,24.0854,77736163.505
174.8637,384.5787,2.4952,337.6558,Air,38.4841,99.9307,TypeB,2.097,29.3912,87056293.2639
148.3271,122.342,3.2319,945.1616,Water,12.5927,69.6717,TypeB,5.5878,17.1491,2147930.8816
239.9436,418.0852,3.3409,672.7369,Fan,13.493,117.2639,TypeA,6.2673,31.9224,18431567.5842
99.3235,424.4604,3.1626,392.0606,Fan,3.4483,112.4792,TypeA,4.2341,29.7144,2841703.716
330.7689,278.3605,3.6619,342.5607,Passive,20.002,148.8038,TypeC,5.2782,19.2343,45208764.6954
76.0927,52.8736,1.5685,271.8339,Fan,34.0249,69.1552,TypeC,4.2716,17.9057,1642395.657
395.4104,179.1672,2.8056,725.1769,Air,51.6182,113.9265,TypeC,6.7691,21.3258,50025655.7498
320.2857,327.6171,0.969,296.8441,Water,40.3487,45.7226,TypeA,9.1113,34.5214,5204965.5871
119.5505,491.5338,2.2303,635.7729,Fan,26.6884,52.5011,TypeA,2.4753,20.1366,20505406.4563
51.9327,334.3161,2.6945,338.1715,Air,57.2341,40.431,TypeC,4.4327,24.1225,3655937.2281
335.4115,166.9116,3.435,695.7721,Fan,43.4355,149.9407,TypeC,2.2678,15.6004,144049202.1371
297.4001,335.3026,4.7774,833.4458,Fan,55.8797,128.2501,TypeB,6.6245,22.9446,88578851.9577
305.1525,292.9934,3.2029,800.2227,Fan,32.1277,126.5395,TypeB,7.5598,26.4264,38039518.3263
319.9446,400.9304,3.8462,784.7662,Fan,16.2754,96.0699,TypeC,9.3872,34.0625,13790591.4814
75.9156,98.1413,2.7782,268.9502,Fan,4.1168,73.0074,TypeC,3.5098,25.3347,416610.2817
175.463,392.4626,3.3535,179.5465,Air,43.839,56.6391,TypeB,9.5519,31.3821,7982454.7119
90.5542,293.57,0.8192,729.0539,Water,8.1569,71.3142,TypeC,1.5694,25.9426,6268965.1486
352.0862,483.3464,1.6448,431.5125,Water,18.8637,81.3568,TypeB,6.4271,15.8157,32736560.0071
268.1543,203.8425,2.1283,489.1116,Water,32.4158,123.1941,TypeB,1.5142,21.3002,119234295.5221
165.8143,334.6799,2.6262,128.0342,Water,34.3006,99.3628,TypeB,9.044,26.511,15333209.2454
72.2454,469.4126,0.7054,333.6188,Air,36.4344,48.5232,TypeA,5.7683,34.0119,3108386.7287
158.8438,96.1294,1.1301,130.3088,Passive,10.8091,41.9832,TypeA,7.0241,32.1826,230291.5553
163.8142,471.7528,1.7457,891.2672,Passive,23.4045,51.2565,TypeC,8.4842,19.5671,6755671.4156
305.3622,359.5486,4.8719,319.057,Air,37.4145,85.1549,TypeB,2.3528,19.4022,114799871.8112
273.1451,80.5267,1.9911,601.6035,Air,58.2193,142.6512,TypeA,1.3473,19.0235,117503763.0887
360.5245,185.4336,2.6692,135.0814,Fan,43.9302,110.1143,TypeC,8.9099,33.45,25270087.0683
215.2752,368.6774,1.3824,700.1627,Fan,55.4336,128.2008,TypeC,3.8344,32.0533,110319981.7958
91.858,80.3078,3.2485,390.7246,Fan,45.9705,91.3012,TypeC,2.1608,30.4977,9542627.0191
299.6357,311.9767,1.7631,908.1273,Water,35.9113,79.7833,TypeC,5.2162,22.8547,36637270.568
316.2748,205.6474,1.4315,899.3064,Fan,12.3294,51.924,TypeC,6.3848,25.0876,3370596.101
246.447,329.412,2.8246,392.7616,Passive,40.3345,136.3526,TypeB,1.2787,24.2866,286975509.095
319.8385,70.5839,0.5248,910.8648,Water,37.7794,126.1476,TypeC,3.4741,20.068,26042400.0172
222.8285,442.1916,0.5345,996.5419,Fan,36.5457,58.493,TypeB,1.2952,25.1006,92838541.3321
232.9565,488.07,1.4858,842.8741,Water,29.8974,96.3487,TypeA,4.783,15.6099,57381550.3549
199.6394,485.995,0.6652,860.3842,Passive,32.1907,93.6112,TypeC,9.0559,17.6362,26202791.9422
58.8967,387.3433,0.9861,324.1079,Fan,20.7321,108.7601,TypeA,9.8439,32.7318,3652905.1154
87.762,108.5388,2.0249,619.0322,Passive,31.6394,144.0806,TypeB,6.7334,30.0336,5104688.1713
61.0002,391.2184,4.1116,160.5303,Passive,12.6558,103.7749,TypeB,2.4547,23.4574,9882160.2891
272.7436,61.0641,3.0742,185.4261,Passive,48.5053,99.4239,TypeA,9.1526,25.343,6538701.1941
160.0246,59.9556,2.807,999.0034,Fan,11.9608,45.5355,TypeC,5.6462,22.4,470218.1239
227.9997,195.6246,1.8207,393.9753,Air,6.013,46.9198,TypeC,2.3837,29.8156,1924421.1262
367.6483,269.8894,4.6929,773.3655,Fan,26.7385,60.6081,TypeA,9.2955,30.6837,8540988.2867
137.2523,396.6833,2.2866,825.9985,Passive,39.8401,43.5718,TypeA,7.8172,30.2657,3692185.631
193.634,357.4829,0.8919,872.2209,Fan,26.8253,121.7688,TypeA,7.5853,29.4522,22598963.2665
314.4429,250.6562,3.2768,997.8655,Passive,17.3285,119.5663,TypeC,7.3826,19.0901,18588103.3468
130.0794,173.132,1.0123,317.3468,Air,33.9321,54.9662,TypeC,2.8031,21.7594,9052844.1608
76.943,498.706,2.0535,136.3157,Water,21.4731,131.9687,TypeC,2.8991,24.3969,30573396.9578
151.413,241.7816,2.7834,470.0724,Air,56.0392,57.0265,TypeA,7.1946,21.6159,10097293.2766
106.4275,253.1242,4.434,217.0726,Air,55.4361,73.1293,TypeC,2.9775,30.0988,21582652.6072
375.3942,123.6307,2.721,120.1833,Water,30.6399,67.3875,TypeB,4.948,21.5871,13162573.5235
332.8421,407.6643,3.6602,424.3841,Fan,20.3452,80.9538,TypeA,8.038,17.7646,21701899.7602
271.6913,362.157,4.9677,805.3644,Water,44.4908,68.013,TypeC,8.0556,22.9808,24471923.2528
355.0112,149.3463,1.0917,609.5626,Fan,3.1661,93.7846,TypeA,5.0794,34.5983,1956004.8458
331.2852,87.0715,1.7363,381.5002,Fan,29.0114,84.8149,TypeB,8.1297,19.5176,6721519.3285
115.2995,356.2247,2.2756,688.9078,Passive,20.8431,148.5226,TypeB,8.5476,27.2432,12146652.7182
362.3956,344.53,2.3982,308.8164,Passive,55.3116,46.1519,TypeA,6.893,23.6595,22534799.6651
238.7698,172.9668,2.3496,112.9433,Water,1.7082,55.64,TypeA,3.0558,16.4205,905436.4838
332.6041,477.8886,4.5842,787.918,Air,33.6161,45.8108,TypeB,3.4661,24.7575,32454930.7417
363.632,117.9761,3.7131,661.3688,Water,44.6992,108.8425,TypeA,3.8336,29.0433,39916055.8439
161.3012,244.5507,3.2356,786.0724,Fan,29.6161,45.996,TypeB,2.0512,25.2644,11807533.5831
88.5182,474.6272,1.8922,135.0442,Passive,6.0388,132.0084,TypeB,3.4584,32.4421,7304205.6059
